student_id,final_score,assignment_rate,sub_rate_d1,sub_rate_d2,sub_rate_d3,sub_rate_d4,sub_rate_d5,sub_rate_d6,sub_rate_d7,sub_rate_d8
71,79.34,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
72,93.46,91.51,100.0,75.16,51.29,35.28,25.57,20.59,18.75,18.49
73,74.57,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
74,93.78,98.81,100.0,67.87,43.99,27.99,18.28,13.29,11.46,11.19
75,43.56,83.81,91.19,57.87,33.99,17.99,8.28,3.29,1.46,1.19
76,84.86,99.28,95.72,62.39,38.52,22.51,12.8,7.82,5.98,5.72
77,76.04,96.2,93.8,60.47,36.59,20.59,10.88,5.89,4.06,3.8
78,71.41,91.28,98.72,65.4,41.52,25.51,15.8,10.82,8.98,8.72
79,76.1,95.57,94.43,61.11,37.23,21.22,11.52,6.53,4.69,4.43
80,51.15,88.3,91.7,58.37,34.5,18.49,8.78,3.8,1.96,1.7
81,72.36,95.04,94.96,61.64,37.76,21.75,12.04,7.06,5.22,4.96
82,79.29,99.17,90.83,57.51,33.63,17.63,7.92,2.93,1.09,0.83
83,92.73,100.0,100.0,66.68,42.8,26.79,17.08,12.1,10.26,10.0
84,68.78,87.57,97.43,64.11,40.23,24.23,14.52,9.53,7.7,7.43
85,65.3,100.0,85.0,51.68,27.8,11.79,2.08,0.0,0.0,0.0
86,68.98,84.04,100.0,67.64,43.76,27.76,18.05,13.06,11.23,10.96
87,85.98,96.44,98.56,65.24,41.36,25.35,15.65,10.66,8.82,8.56
88,78.95,98.73,91.27,57.95,34.07,18.06,8.35,3.37,1.53,1.27
89,68.64,95.13,89.87,56.54,32.67,16.66,6.95,1.97,0.13,0.0
90,81.16,93.12,100.0,68.56,44.68,28.67,18.97,13.98,12.14,11.88
91,76.16,94.19,95.81,62.48,38.61,22.6,12.89,7.91,6.07,5.81
92,86.62,94.86,100.0,66.82,42.94,26.93,17.22,12.24,10.4,10.14
93,66.58,90.37,94.63,61.31,37.43,21.42,11.72,6.73,4.89,4.63
94,71.07,98.46,91.54,58.21,34.34,18.33,8.62,3.64,1.8,1.54
95,70.29,95.84,94.16,60.83,36.95,20.95,11.24,6.26,4.42,4.16
96,57.44,88.02,91.98,58.65,34.78,18.77,9.06,4.08,2.24,1.98
97,78.55,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
98,78.13,97.16,92.84,59.51,35.64,19.63,9.92,4.94,3.1,2.84
99,75.06,99.08,90.92,57.6,33.72,17.72,8.01,3.02,1.19,0.92
100,72.18,97.59,92.41,59.09,35.21,19.21,9.5,4.51,2.68,2.41
101,58.02,87.46,92.54,59.22,35.34,19.33,9.63,4.64,2.8,2.54
102,69.95,91.19,93.81,60.49,36.61,20.6,10.9,5.91,4.07,3.81
103,70.89,97.91,92.09,58.76,34.88,18.88,9.17,4.19,2.35,2.09
104,65.37,96.13,88.87,55.55,31.67,15.67,5.96,0.97,0.0,0.0
105,73.06,94.51,95.49,62.17,38.29,22.28,12.58,7.59,5.75,5.49
106,79.85,96.56,93.44,60.12,36.24,20.24,10.53,5.54,3.71,3.44
107,97.63,100.0,100.0,66.68,42.8,26.79,17.08,12.1,10.26,10.0
108,77.09,92.46,97.54,64.22,40.34,24.33,14.62,9.64,7.8,7.54
109,78.09,98.35,91.65,58.32,34.45,18.44,8.73,3.75,1.91,1.65
110,74.11,93.81,96.19,62.87,38.99,22.98,13.27,8.29,6.45,6.19
111,51.97,89.31,90.69,57.37,33.49,17.49,7.78,2.79,0.96,0.69
112,74.68,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
113,75.72,99.27,90.73,57.4,33.53,17.52,7.81,2.83,0.99,0.73
114,100.0,100.0,100.0,66.68,42.8,26.79,17.08,12.1,10.26,10.0
115,72.69,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
116,78.62,95.83,94.17,60.85,36.97,20.96,11.26,6.27,4.43,4.17
117,74.58,98.33,91.67,58.35,34.47,18.47,8.76,3.77,1.94,1.67
118,60.98,90.64,94.36,61.03,37.15,21.15,11.44,6.46,4.62,4.36
119,88.71,99.36,95.64,62.31,38.44,22.43,12.72,7.74,5.9,5.64
120,84.02,96.15,98.85,65.52,41.64,25.64,15.93,10.95,9.11,8.85
121,84.49,97.38,97.62,64.29,40.42,24.41,14.7,9.72,7.88,7.62
122,64.09,95.79,89.21,55.88,32.01,16.0,6.29,1.31,0.0,0.0
123,91.83,94.28,100.0,72.4,48.52,32.52,22.81,17.82,15.99,15.72
124,58.18,100.0,80.0,46.68,22.8,6.79,0.0,0.0,0.0,0.0
125,82.04,91.38,100.0,70.3,46.42,30.41,20.71,15.72,13.88,13.62
126,100.0,93.93,100.0,72.75,48.87,32.86,23.16,18.17,16.33,16.07
127,63.11,98.41,86.59,53.26,29.39,13.38,3.67,0.0,0.0,0.0
128,68.2,97.6,87.4,54.08,30.2,14.19,4.49,0.0,0.0,0.0
129,76.2,98.36,91.64,58.32,34.44,18.43,8.72,3.74,1.9,1.64
130,68.96,96.93,88.07,54.74,30.87,14.86,5.15,0.17,0.0,0.0
131,56.39,91.22,88.78,55.46,31.58,15.58,5.87,0.88,0.0,0.0
132,75.82,90.68,99.32,66.0,42.12,26.11,16.41,11.42,9.58,9.32
133,62.25,92.83,92.17,58.85,34.97,18.96,9.26,4.27,2.43,2.17
134,80.68,92.75,100.0,68.93,45.05,29.04,19.33,14.35,12.51,12.25
135,63.97,97.67,87.33,54.01,30.13,14.12,4.42,0.0,0.0,0.0
136,93.6,97.98,100.0,68.69,44.81,28.81,19.1,14.11,12.28,12.02
137,65.6,88.99,96.01,62.68,38.81,22.8,13.09,8.11,6.27,6.01
138,71.14,92.62,97.38,64.06,40.18,24.17,14.46,9.48,7.64,7.38
139,84.76,99.02,95.98,62.66,38.78,22.78,13.07,8.08,6.25,5.98
140,60.23,89.23,95.77,62.45,38.57,22.57,12.86,7.87,6.04,5.77
141,77.73,91.43,98.57,65.24,41.36,25.36,15.65,10.66,8.83,8.57
142,90.69,99.36,100.0,67.32,43.44,27.44,17.73,12.74,10.91,10.64
143,55.71,92.37,87.63,54.31,30.43,14.43,4.72,0.0,0.0,0.0
144,77.22,92.91,97.09,63.77,39.89,23.88,14.18,9.19,7.35,7.09
145,78.12,93.27,96.73,63.41,39.53,23.52,13.82,8.83,6.99,6.73
146,84.38,98.04,96.96,63.64,39.76,23.76,14.05,9.06,7.23,6.96
147,60.16,84.79,100.0,66.89,43.01,27.0,17.29,12.31,10.47,10.21
148,59.15,84.79,95.21,61.88,38.01,22.0,12.29,7.31,5.47,5.21
149,81.26,92.66,100.0,69.02,45.14,29.13,19.42,14.44,12.6,12.34
150,78.56,94.65,95.35,62.03,38.15,22.15,12.44,7.45,5.62,5.35
151,78.01,97.16,92.84,59.52,35.64,19.64,9.93,4.94,3.11,2.84
152,79.16,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
153,66.84,97.66,87.34,54.02,30.14,14.14,4.43,0.0,0.0,0.0
154,77.79,94.76,95.24,61.92,38.04,22.04,12.33,7.34,5.5,5.24
155,78.52,95.61,94.39,61.07,37.19,21.18,11.48,6.49,4.65,4.39
156,66.43,88.27,96.73,63.4,39.53,23.52,13.81,8.83,6.99,6.73
157,97.39,99.39,100.0,67.29,43.41,27.41,17.7,12.71,10.88,10.61
158,80.69,94.69,100.0,66.98,43.1,27.1,17.39,12.41,10.57,10.31
159,60.7,93.75,91.25,57.92,34.04,18.04,8.33,3.34,1.51,1.25
160,82.88,92.44,100.0,69.24,45.36,29.35,19.64,14.66,12.82,12.56
161,63.3,95.26,89.74,56.42,32.54,16.54,6.83,1.84,0.0,0.0
162,84.45,100.0,95.0,61.68,37.8,21.79,12.08,7.1,5.26,5.0
163,88.9,97.24,97.76,64.44,40.56,24.56,14.85,9.86,8.03,7.76
164,65.15,95.04,89.96,56.64,32.76,16.75,7.05,2.06,0.22,0.0
165,86.56,100.0,95.0,61.68,37.8,21.79,12.08,7.1,5.26,5.0
166,79.95,93.98,96.02,62.69,38.81,22.81,13.1,8.11,6.28,6.02
167,84.86,98.09,96.91,63.58,39.71,23.7,13.99,9.01,7.17,6.91
168,97.76,99.62,100.0,67.06,43.18,27.18,17.47,12.48,10.65,10.38
169,72.06,94.9,95.1,61.78,37.9,21.89,12.19,7.2,5.36,5.1
170,65.96,89.33,95.67,62.35,38.47,22.47,12.76,7.77,5.94,5.67
171,64.33,92.99,92.01,58.69,34.81,18.81,9.1,4.11,2.27,2.01
172,65.21,95.53,89.47,56.14,32.27,16.26,6.55,1.57,0.0,0.0
173,74.07,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
174,79.09,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
175,78.32,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
176,84.93,93.15,100.0,68.53,44.65,28.64,18.94,13.95,12.11,11.85
177,75.16,99.39,90.61,57.28,33.41,17.4,7.69,2.71,0.87,0.61
178,92.44,99.41,100.0,67.27,43.39,27.39,17.68,12.69,10.86,10.59
179,71.82,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
180,100.0,95.96,100.0,70.72,46.84,30.83,21.13,16.14,14.3,14.04
181,82.51,92.3,100.0,69.37,45.5,29.49,19.78,14.8,12.96,12.7
182,64.71,89.95,95.05,61.73,37.85,21.85,12.14,7.15,5.32,5.05
183,62.15,81.81,100.0,69.87,45.99,29.98,20.27,15.29,13.45,13.19
184,80.79,93.53,100.0,68.15,44.27,28.26,18.56,13.57,11.73,11.47
185,72.32,90.67,99.33,66.01,42.13,26.12,16.42,11.43,9.59,9.33
186,83.57,97.47,97.53,64.21,40.33,24.33,14.62,9.63,7.8,7.53
187,80.68,97.84,97.16,63.83,39.95,23.95,14.24,9.25,7.42,7.16
188,74.13,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
189,64.84,97.72,87.28,53.96,30.08,14.07,4.36,0.0,0.0,0.0
190,56.82,88.48,91.52,58.2,34.32,18.31,8.6,3.62,1.78,1.52
191,69.64,89.44,95.56,62.24,38.36,22.36,12.65,7.66,5.83,5.56
192,85.28,99.51,95.49,62.16,38.28,22.28,12.57,7.58,5.75,5.49
193,77.57,88.91,100.0,67.76,43.89,27.88,18.17,13.19,11.35,11.09
194,60.05,100.0,85.0,51.68,27.8,11.79,2.08,0.0,0.0,0.0
195,77.08,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
196,79.62,93.58,96.42,63.1,39.22,23.21,13.51,8.52,6.68,6.42
197,64.39,84.31,100.0,67.36,43.49,27.48,17.77,12.79,10.95,10.69
198,76.84,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
199,75.7,94.57,95.43,62.11,38.23,22.23,12.52,7.53,5.7,5.43
200,61.28,98.45,86.55,53.23,29.35,13.35,3.64,0.0,0.0,0.0
